model,accuracy,precision,recall,f1
ocsvm,0.6948249457608372,0.6757287281721943,0.9980559745265628,0.8058564440505268
sgdocsvm,0.6962234653507466,1.0,0.5213088654265124,0.6853425721414682
lof,0.7236142425660441,0.6968717487111745,0.9990363666834255,0.8210353067562822
if,0.6339813672523078,0.634372672129403,0.9990279872632813,0.7759958344181203
pca,0.3354798570638533,0.3391274515409686,0.04969834087481146,0.08669214859423074
