model,accuracy,precision,recall,f1
ocsvm,0.9561823608241368,0.9576264784598117,0.9980093235636482,0.9774009588139565
sgdocsvm,0.6474727574626666,1.0,0.6286994809620479,0.772026378482892
lof,0.9486009001649769,0.9493967147941136,0.9991171293770982,0.9736225617925808
if,0.9486222563921858,0.9493977963728853,0.9991396228961531,0.9736338105349681
pca,0.08872978499618257,0.8334110624008955,0.05024489818870938,0.09477592150623176
