model,accuracy,precision,recall,f1
ocsvm,0.6064141376849048,0.5237852123250646,0.992375533428165,0.6856682326577949
sgdocsvm,0.8101602303773167,0.9994935170178282,0.5614224751066856,0.7189856814952454
lof,0.4320066947254424,0.4322513914199872,0.9986913229018493,0.6033584847286915
if,0.43222821137611067,0.4323772005416718,0.999203413940256,0.603574497336312
pca,0.39959142484432303,0.10313118379699686,0.05041251778093883,0.0677214706107162
