model,accuracy,precision,recall,f1
ocsvm,0.7082295466598101,0.6860870093888151,0.997865164281293,0.8131137416366443
sgdocsvm,0.6977678499686631,0.9804130148232084,0.5355532256230815,0.6927111416107055
lof,0.6364038118501615,0.636482179078528,0.9988757374025744,0.7775259465385768
if,0.635423529978948,0.6358424725822532,0.9989641625506865,0.7770751959122509
pca,0.13714304080222411,0.11265131344184898,0.051842401121736166,0.07100714569960379
