model,accuracy,precision,recall,f1
ocsvm,0.9855085115670013,0.9902029595835526,0.9952089824231379,0.9926996599038348
sgdocsvm,0.7366215626364033,0.995318760661721,0.7374346011404386,0.8471863445271742
lof,0.9893787283573403,0.990012520746586,0.999353359590853,0.9946610107511153
if,0.9894078277317038,0.990012811553692,0.9993827523367232,0.9946757159991808
pca,0.05846064309617343,0.9911556603773585,0.04940920580800658,0.0941262108740691
