model,accuracy,precision,recall,f1
ocsvm,0.4431045865858868,0.4441243336469113,0.9862471166818992,0.6124511830921203
sgdocsvm,0.7884578041865703,0.9985970124618305,0.526613570091831,0.6895765657947227
lof,0.4458231387626704,0.445979020979021,0.9992166079122601,0.6167049437930617
if,0.4456872111538312,0.44590367765624694,0.9989119554336946,0.6165748824714573
pca,0.5736533457610005,0.918785890073831,0.048744396570483524,0.0925772855017358
